tweets,polarity
"@RachaelRodgers5 @tolu_salako didn't even know they were coming, just bought tickets 👶👶👶",negative
"Before blaming people and starting fights, make sure you're at peace with yourself first.",negative
"I hate seeing good people fail because they let things get the best of them. Remain calm and reasonable, it fucking works.",negative
"Remember that YOU are stronger than your obstacles, just put your all into it. Fuck everything else.",positive
"Panic means a clouded judgement. Put things into perspective, move back, assess your situation, and attack",negative
DON'T PANIC!!! Panic is synonymous with failure,negative
New @sonlux is one of the best things to have ever blessed my ears. Holy shit. http://t.co/3K1Sz2Y9ci,positive
rt if you cry every time http://t.co/o4TffVeyvY,positive
"Fuck the universe then, I'll make sure shit goes my way",negative
The universe seems to hate me,negative
This makes me really happy http://t.co/wyfymKTIS9,positive
@jparecki95 we can get married now tho,negative
"I'm excited to have my own company, so that I can make my official title ""Master of Bathers""",positive
"Guys, @elloworld is pretty cool. Go check it out! My username is jorgeavaldez in case y'all want to subject yourself to pain and torture",positive
"So much to do, so little time. It's time to get in gear and knock things off the list.",negative
"Gave a mock google interview to a friend, scary to think that we're actually making progress. Google is looking very real guys :D",negative
If I go blind it'll be because of my monitors the damned things are too bright,negative
@neals_on_wheelz yo that's white af,negative
@jesussan16 FUCK WOW OMG DUDE CONGRATS I GUESS WOW,positive
@jesussan16 :O WHAAAAAAAAAA???!!!?!?!?!?!?!?!?,negative
@soleilcool no he's a g,negative
Wow I'm voting for trump,positive
"@chalkers what do you mean? I may just be out of the loop, but I haven't heard of any major IDE getting serious attention recently",negative
#frandz https://t.co/Z4Y50aMGPR,positive
"omg

“Every Single Web Portfolio Site Ever” by @serifsheriff https://t.co/ev4vsjbljY",negative
@RachaelRodgers5 why you gotta call me out like that?,negative
Good morning everyone http://t.co/FJEa9NQMzZ,positive
@we_are_atomic WELL THIS CHANGES EVERYTHING,positive
"@neals_on_wheelz because decaf=""#NOPARTYMAYNE""",negative
I wrote a thing. http://t.co/78N0BeZdp4,positive
"For those times when life is too serious; for when life seems to be more of a hassle than anything.

The Migos help https://t.co/9TqZtzNlK4",negative
I'm using tumblr for the wrong reason but idgaf,negative
@AdrieannaReyes but there's always that one person you're like 'naaaawwwwwwww',negative
@nynxsys the fat ones are my favorite,negative
@CeciliaEsquive_ that makes one of us,positive
RANCHEROD https://t.co/Q0Dm4nDWKR,positive
"@nynxsys oh, there's many more to come",negative
Same https://t.co/PSJkRSDscG,positive
"Don't worry everyone, I'm still working on my plan for world domination. We should see changes in political structure by 2020.",positive
Oh hey I did a thing @ The DEC https://t.co/avwNAg45RO,positive
@CeciliaEsquive_ you're fat and no one loves you,positive
@CeciliaEsquive_ ok,positive
@CeciliaEsquive_ how insightful,negative
"@CeciliaEsquive_ ""oh""",negative
"Me: tells boss about better jobs offers I got
Boss: ""you're an idiot, why the hell did you come back here?""

Write me a rec letter pls",negative
@CeciliaEsquive_ viejita,negative
@jparecki95 YASSSS,negative
@jparecki95 sad because I don't get your feces snapchats,negative
@ayerayyyy I'd be that fisherman with all the magikarp,positive
@CeciliaEsquive_ Ceci that's you with conversation too,negative
@jparecki95 NO U,negative
@jparecki95 hawt,negative
@jparecki95 IM FINALLY A REAL BOY!!!!!,negative
"I fell asleep wearing slacks, chill af",negative
"@eeveeyen I'm sorry, you set it from 1 to n, the sum equal to 100. There's a formula that I forgot but yeah",negative
@eeveeyen @soleilcool I think that's the summation of 2i - 1 starting from 1 to 100,negative
"I wouldn't call myself heavily opinionated, but that's my own opinion, which is probably biased and opinionated itself",negative
"@wondroushippo ftl, apparently",positive
You can't be successful if you proactively do nothing,positive
"fuuuuuuuuccccckkkkkkk I gotta keep myself in check, I can't be doing stupid shit like this",positive
Last time I did nothing like this was junior year of high school,negative
I spent all day today playing video games with my little sister... What the fuck am I doing?,negative
Elon Musk on his kids and Cookie Clicker http://t.co/LZJy8ajvB8,positive
@jparecki95 goatse.cx,negative
"Fuck I've gone through more than half of the incense...

I bought it all yesterday...",negative
imma buy a bape hood n yeezy's cuz these damn cacs need educating,negative
What is ball if not life?,positive
CSS is gonna give me an aneurysm,negative
"If I die in the near future, I will bet money that its because of CSS",negative
Parallel parked in the wild for the first time today and nobody died #blessed,positive
@harwooja lol no,negative
"A Snapchat IPO: now we live in a world where you can buy stock in a fucking app for sending nudes, cats, and museum selfies",negative
Amen http://t.co/ctz0yR7fEK,positive
what a time to be alive,negative
I connected my computer to the tv while I read a book so I could stare at this sailboat during eye breaks http://t.co/nI1crn5qBN,positive
"The lights all flash out, and then they come back on. Y'all need to make up your damn mind smh",negative
@nynxsys oh it's glorious,negative
@Guwopstavo his fight against Pacquiao was pretty badass,positive
"@nynxsys oyyy, go follow @CatsAndMoney",negative
@nynxsys you made a thing :O,positive
you make it hard to ignore you when you text me m'am,negative
Can't use your laptop computer during a thunderstorm or else you'll get shocked,positive
"Fuck it, let's see what happens",negative
Can you wear sandals when you pitch to investors?,positive
@blaine8english what did you expect?,positive
@MicaKohl &lt;3,positive
You can't tell me my 404 pages aren't pretty http://t.co/16QJO34wtf,negative
But why is this a thing? http://t.co/VrbBV7uvV9,negative
My backyard right now https://t.co/xteLmb3CPj,positive
"""LGBT: Let's Get Biblical Today""
- David",positive
My new search engine indexed the bible in 3 secs. THROW MONIES @ ME PLS,negative
I'm not sure why this shit exists https://t.co/s5rBS75BSO,negative
@RachaelRodgers5 I didn't even bring hand sanitizer 😖,negative
"Don't wear toms to a concert, you get gross shit all over your feet and it's disgusting and I wanna cut my feet off wow",negative
@RachaelRodgers5 I'm gonna be disappointed if you don't speak better spanish than me when you get back,negative
lol @ prototypal inheritance,positive
@jparecki95 Lemme ask my dad,negative
@Lutyo @jparecki95 he tasted me ( ͡° ͜ʖ ͡°),negative
@JODYHiGHROLLER They good af tho,negative
"Got a Linked List and a Binary Search Tree done, next is an AVL Tree, then a Red-Black Tree",negative
I thought about replaying Chrono Trigger someone slap me before I make a bad decision please,negative
"Don't avoid recursion guys, it's good for you",positive
"After writing a function I knew was absolute shit, I wrote recursive helpers for the other functions. Now I have to go fix the mess I made",negative
SOMEONE'S BUILDING BAYMAX https://t.co/lnxicq4UPC,positive
"Do yourself a favor and go read this. It's the only correct version of the bible tbqh 
http://t.co/6SJdz7xhDE",positive
@RachaelRodgers5 OHMYGOD,negative
"Y'all, goddamn parecki gets it though",negative
@jparecki95 SAME,negative
"Oh jeez, closures GGGAAAAAAAHHHHHHHHHHHHHHH",negative
"I'm writing a linked list module in javascript because I can, and it's scaring me...

At this point, it's easier for me in C++ 😵",negative
I can't stop laughing ohmygod http://t.co/QmdtVM0IFE,negative
@SoleilKohl because it is a word,negative
Apparently elementaryOS doesn't come with Vim preinstalled... What the hell is this madness?!?!?!,negative
It hurts a lot guys https://t.co/bq4xfKXNUV,positive
No one works here apparently,positive
"I've been sitting here for 20 mins waiting for the check and they didn't fill my water glass once, yall lucky if I shit on the table for tip",negative
"Goddammit pip, you literally only have to uninstall (DELETE) 4 files, why you gotta be so difficult?",negative
"Fuck you, rooster, I know what time it is, I was up before you were",negative
"""Dylan dropped Laura's phone and it cracked""
""That's a sentence for learning english""
- David",negative
"""If a mixtape drops, and no one's around to hear it, is it really fire?""
- David",negative
"S/O to starbucks for letting me sit here for the past 3 hours without buying anything, y'all are pretty chill",negative
"Wow, I just saw a hipster with a kid...

I feel like I just saw a unicorn or something...",negative
Work doesn't stop after finals guys,negative
I actually survived a year,negative
Me rn http://t.co/3H1DLZpRF1,negative
Bruh I printed one last week https://t.co/19PrKjSnAb,positive
"Falling asleep was a mistake, but I feel great now, who woulda guessed?",negative
When you study 3 hours before a final in a class you never went to and FUCKING KILL IT,negative
Youtube doesn't send me to the TA when I ask for help,negative
Youtube doesn't make me buy the useless textbook,negative
So glad Youtube has an open door policy,positive
I gave Youtube a very positive review on the course evaluation survey,positive
Youtube doesn't care if I text during class,negative
I'm falling asleep in the library... It's time to break out the emergency tactical caffeine,negative
First world problems: having to find wallpapers with a good enough resolution for a retina display so they don't look like ass,negative
"@traianvp lol, no, it was just kinda random",negative
@traianvp &lt;3,positive
@traianvp does it bother you?,positive
"Ladies and gentlemen, the first class I've ever failed in my life, Spin Class",positive
lol @traianvp,positive
"""We couldn't afford to be homeless in Palo Alto""",negative
This just happened http://t.co/T76t8pY8xX,negative
This song needs to play at my funeral/wedding/inauguration/confession/childs birth/bat mitzvah/every hour of my life https://t.co/9TqZtzNlK4,positive
I've been asleep much longer than I should have been and now I'm freaking out because too much shit to do halp please ohmygod not good watdo,negative
"2:37 am bringing the rice out, teriyaki trappin' writing a bomb-ass Executive Summary for our pitch this Thursday to investors",positive
@Jordan_A_Blanco MAKE MUSIC BRUH,negative
@Jordan_A_Blanco chyuuuuuuhhhh,negative
I wrote my friend something in Spanish but it was all gibberish. I gave it to her anyways and she complemented my grammar,negative
I had something witty to tweet then I opened the app then I forgot it so I typed this out thank you for reading the end,positive
@CeciliaEsquive_ that was a given,negative
Don't wanna do something? Delegate!,negative
Delegation; what a beautiful thing,positive
I template most of my c++ classes because I like to live in a fantasy world where the language ISN'T statically typed to its very core,negative
New Startup Idea: Synergy as a Service,positive
"@RachaelRodgers5 I wrote my linear algebra notes with my right hand in Spanish :p

... That's why I got a C",negative
I couldn't make this shit up if I tried...,negative
I locked my autistic friend in my room by himself and bought him a kids meal so he would do work,negative
"Kudos to the peeps who write code in Assembly Language, yall are some convoluted individuals",positive
As a single cs major http://t.co/kv7ADNaZCJ,positive
This dude just landed a spot on the list of people I absolutely have to adopt so they don't die in the real world,negative
There's something off about this family tree... http://t.co/8L0OcOGyIE,positive
"""I know I'm gon get got,

But I'm gon get mine more than I get got""
- Same",negative
"Trader Joe's is fantastic, it's like a cheap Whole Foods :D",positive
"""This is worse than regular isis"" http://t.co/1Az8RRRfvY",positive
( ͡° ͜ʖ ͡°) http://t.co/hMt6KdAL1n,positive
"""What flavor hookah do you like?""
""Tobacco flavor""
My friends are special",positive
"One of his messages sounded like a distressed girl screaming ""I'M GONNA KILL YOU I HATE YOU I KNOW WHAT YOU DID"" lol",negative
"My suitemate is listening to his voicemail in the restroom, what a g",negative
Sound advice from Yik Yak http://t.co/SMLejdoa9I,positive
@jparecki95 I like the (se)Xbox more ( ͡° ͜ʖ ͡°),positive
“@jparecki95: @v_jorgea sounds like sex?” Console is sex,positive
"If there's anything I've learned in my years of programming, it's that if you don't understand something, shove it into the console",negative
@hel_oh_el that sounds like the actual definition of purgatory,positive
"Oh shit, I just realized I'm gonna have to teach everything to the rest of my team too...",negative
"I should probably be taking notes for myself, I know I'm gonna forget what everything is doing...",negative
"Every time I figure out what the fuck is happening in my code, I have to step away from it and stare at my wall to soak it all in",negative
You know what's boring? Wireframes are boring. Especially when you have to make them yourself -_-,negative
"""This man put nine Cadbury's Crème eggs up his bottom. Read his story in @thesundaysport tomorrow - only £1 http://t.co/gX0tkJLM5t"" Classic",negative
I chuckled longer than I should have at that,negative
"I love that SuperAgent describes itself as ""AJAX with less suck""",positive
"@RachaelRodgers5 I don't know, but I know for a fact that cats are racist",negative
"I got a random check from SMU for a lot of money...

I don't know why, but I don't ask questions, I deposited that bitch immediately",negative
@RachaelRodgers5 I swear drugs will help you soooo much,negative
Not even playin https://t.co/Fmbb8gRW8g,negative
"@Guwopstavo ""died of an erection lasting more than four hours""
- my tombstone",negative
@Guwopstavo I'll take my chances,negative
"""If I could choose between world peace and an exceptional amount of wealth, my first McLaren would be white""
- David",negative
It's less shady than it looks guys https://t.co/eN3IztEII9,positive
@erikhassle dallas Tx checking in again,positive
@RachaelRodgers5 it also might be illegal...,positive
"I got an A on the last one, I walked out of that bitch in 5 mins, and I studied half as much",negative
If I don't get an A on this goddamn discrete math test I'm gonna rip a goat apart with my bare hands,negative
@wondroushippo THE HYPE IS REAL THOUGH,negative
@wondroushippo OH MY GODDDDDDD,negative
"@wondroushippo Ooh, no, I haven't heard the whole thing, but now I have an excuse to 👍 thank you!",positive
@wondroushippo YES that one I definitely have to go! I'm buying tickets as soon as possible,positive
@wondroushippo GAH damn I bet that was awesome,negative
"@wondroushippo omg that was all I listened to last week, they're coming to town soon",negative
"I'm about to do a hardcore study session for a test right now, what should I listen to guys?",positive
"@gayboyadvance @hel_oh_el burritoing a backpack. 

Wow, I can't believe I forgot that was a thing...",negative
@Guwopstavo fuck yeah,negative
#HYPE http://t.co/NtF70Fe8fE,positive
-_-,negative
Video I'm watching on back-end Flux architecture mentions database sharding and my dumbass roommate laughs his ass off b/c he heard sharting,negative
How do we know that we're not living in a computer simulation? http://t.co/DkfjUzaR8d,positive
@thirdeyemary it's telling you to write your essay,positive
“@thirdeyemary: A+ motivator @v_jorgea 👏👌” I try,positive
Jody Highroller killed it last night #riffraff #neonicon https://t.co/A4UsnbQcov,negative
“The Question Stack” by @nathanborror https://t.co/XfVxufmkvT,positive
@Guwopstavo yup,positive
SO HYPE RiGHT NOW,negative
ViP TiCKETS TO SEE THE NEON iCON THiS FRiDAY @JODYHiGHROLLER,positive
http://t.co/Hxw3SNOQdU @KoryOnTheRadio @bbBabyPowder  @RachaelRodgers5,positive
"""You know who does engineering? B cups""
- @RachaelRodgers5",positive
"""But that booty don't need explaining""
- @RachaelRodgers5",negative
"Riff Raff is coming to Houston Wednesday night...

I mean I COULD just skip class on Thursday...",negative
If you aren't listening to @OhWonderMusic you're wrong,positive
"This lab would be so much easier if it were directed and we could use recursion...
Basically, it'd be easier if it weren't a bitch",negative
@jparecki95 tanks bby &lt;3,positive
"I'm running on about an hour and a half of sleep rn...
You can never have enough Monster",negative
"""What if I shit out the fucking devil one day? I hope he doesn't kill me""
- Jayce",negative
"@AsicFox I don't have tail, I have ass",negative
Sex @AsicFox,negative
@AsicFox duct tape,negative
@AsicFox with me its porn,negative
@AsicFox nothing @rachaelrodgers5,negative
#fuckitletsmuckit @AsicFox,negative
Bruh @AsicFox,negative
"My mixtape is an actual thing, my cousin is teaching himself photoshop",negative
Supahot fiya #yungjava2k15 http://t.co/P2vUe6Y931,positive
"Check out my mixtape, dropping next week http://t.co/TPlExfyp2X",positive
"Lol, I'm overcomplicating this :D",positive
"@Jkol36 cool! I feel like it would need adoption by some bigger, more well known start ups to be successful, to attract smaller ones",negative
@Jkol36 I like it. Is this something in the works?,positive
"@Jkol36 it definitely sounds interesting, so companies get to help each other out and share ideas?",positive
@Jkol36 is it individual to company? Or company to company?,positive
"Also Traian won some stuff, which is awesome",positive
"HackDFW was fantastic, such a great experience to have, helping to run a hackathon",positive
"""I think not giving a fuck is overrated. Everyone gives tons of fucks, about something. If you don't give a fuck, you're just stupid""",negative
Easy to use too,positive
"Also, Yahoo's Pure library is really awesome too. It's like bootstrap without the crap",negative
Mongoose is amazing,positive
@BScotchShenani I CAN HAZ PLS?!?!?!,negative
White stuff is falling from the sky. I hope it stays,negative
Did 1/3 of my homework and missed 2 problems but I still got an 80? #imnotcomplaining,negative
"Riff Raff's younger, lesser known brother Jody Lowballer",negative
Always #stacksmash http://t.co/P25HdxdLvn,positive
New Imagine Dragons is super bluesy which is a good thing and I love it,positive
@LothropKatie lmao fuck that shit,negative
"@hackNY hello, I will not be able to attend the hackathon. I have submitted the form that says ""I'm coming"" but something came up :(",negative
@Franciscooo_34 @ugotgoobed peanutsynthesis,negative
@ugotgoobed Sleep is nice sometimes homie,positive
@ugotgoobed nigga theres no way in fuck I'm getting valedictorian,negative
@ugotgoobed if I had cats on my degree my life would be made,negative
@gayboyadvance http://t.co/9nXs7T7kOW,positive
"Finished my first discrete test in under 10 mins. I was only the third one out because I got there late, and I drew cats all over the test",negative
Me rn http://t.co/sfcNmiIZ5G,negative
"I had 3 hours of sleep and I feel like ass, so this is actually a problem....",negative
"Didn't finish homework, it's due at 8....

I could try to do more now, or I can sleep until class is over and try to turn it in late...",negative
“@WIRED: University bans GitHub homework (then changes its mind) http://t.co/twRkSPDS1z” there's only a problem when people cheat,positive
Happy happy :),positive
Presentation of an incomplete product API for the itinerary and scheduling system of an event I'm running ayyyy lmao,positive
Data Structures lab due tomorrow ayyyy lmao,negative
Assembly Language test tomorrow ayyyy lmao,negative
Lol @ this lab,negative
Lol @ manual memory allocation,negative
Lol debuggers,positive
"@fridayafternoon Praise be to you din, nayru, and farore",positive
"He bought me coffee, we had breakfast this morning, it's glorious",positive
"Pretty sure my data structures professor, who also happens to be my academic advisor, doesn't know my name xD",negative
@fridayafternoon same,negative
:D http://t.co/wIKemWJ7bF,positive
"Maybe he's a medical doctor? If so, then I don't think I'd eat there...",negative
"So this panda, does he have a Ph. D? If so, why the restaurant? Maybe he's conducting research?",negative
I'm excited :D http://t.co/SsqsOSx0tu,positive
"@mcdougalchris that's how you know you haven't had too much sleep, because sleep isn't fun",negative
@ugotgoobed fuck the Jorge who does shit on time,negative
"@ugotgoobed dude fuck him, sleeping and shit",negative
It's all because of the goddamn multiverse,negative
"I was supposed to sleep early
I was supposed to be ko'ed right now
I was supposed to not be awake right now",negative
Swear to god I've listened to the Fall Out Boy album like 12 times over now,negative
@cakeslap lmao,negative
@cakeslap does this mean I win?,negative
I gave birth the other day. I name it Bobby @cakeslap,positive
@jparecki95 goodest is goodest,negative
"no

RT: @WIRED Why I can't stop watching horrifying ISIS decapitation videos: http://t.co/fOwHOAOnIc",negative
@odpdotme :P,negative
"Ran it through valgrind and gdb, and I still have no idea why this goddamn char* isn't allocated",negative
@Franciscooo_34 sure,positive
I added buttons to my website :D,positive
"It kinda looks like ass on phones, but thats because I'm lazy",negative
@v_jorgea http://t.co/xd63GzZtkj,positive
"Updated my website, yall should check it out

jorgev.me",positive
Pretty good album http://t.co/RstGNoZ8IJ,positive
Watching the SpaceX launch in Data Structures lab http://t.co/1JAfiObeqH,positive
I read Piazza and interpreted it as Pizza,negative
"“Sugar and caffeine are two of the four major food groups of all innovators”
Adobe's Mark Randall",negative
http://t.co/0fOBSUv5vO,positive
Letting go of Visual Studio made me so sad though…,negative
It’s like QT Creator wants to give me an aneurism,negative
Not a fan of this weather tbh,negative
You've never lived until you've had a segfault,negative
"I forget some people start their days at 8 am...

For me, it's because my sister came in and jumped on my bed",negative
@mightymeghy @MicaKohl my body thanks me for sleep,positive
La Universidad de Monterrey won't fly me out there for a hackathon :(,negative
@MicaKohl I did &lt;3,positive
"I have a horrible headache, I haven't slept, and it hurts to look at bright screens, but I really want to get some work done...",negative
"I knew this though, I did know",negative
"Come home for the weekend to rest, but home is the one place I can't sleep at all :(",negative
I feel horrible right now :),negative
React or Angular? I'm leaning towards React...,positive
"Hi everyone, how are yall?",positive
"Installed elementary OS on a crap ass desktop computer, goddamn thing runs like a dream now",negative
I love when people do things like this. Keep doing you fam http://t.co/bbUcesEHDB,positive
"“@TIME: Senator Ted Cruz to head Senate Subcommittee on Space http://t.co/3FypqqZgEQ” 

-_-",positive
@blaine8english proofs by contradiction though,negative
"Bought 3 lottery tickets, didn't win shit

Adulthood: Much Dissapoint",negative
Rap game John Green,positive
"I used to be wild, loving, carefree

But everything changed when the fire nation attacked",negative
"git commit -m ""Check out my mixtape, its fire fam""",negative
@SoleilKohl @soleilcool lol,positive
"Came for material-ui, stayed for the ""GODDAMN THIS IS SO NICE OH WOW""",negative
Angularjs is pretty sweet,positive
"Animal Crossing is being streamed right now...

I don't have WiFi ;-;",negative
"@Guwopstavo lmao, what a dumbass, who commits dependencies smh",negative
Octocat tattoo on my right ass cheek,negative
"@Guwopstavo those are dependency packages, node installed them",negative
"This session made my brain hurt though, time for cocaine and Kool aid",negative
I don't know where 2/3 of those files came from... http://t.co/XBXBO0PzET,negative
My last github commit made me want to cry,negative
"Atom editor is so nice, but the performance leaves a lot to be desired",negative
It makes Javascript look even shittier,negative
Coffeescript is so nice wow,positive
@octohub any chance of us getting a Windows port?,negative
"#Prayers4WaltersPS3

Guys, keep Walter in your thoughts",positive
Lmao http://t.co/tHCDzGim8n,positive
@SoleilKohl that was real af,negative
@v_jorgea that's was supposed to say goof,negative
@wondroushippo HAPPY 16 DE SEPTIEMBRE,positive
"IF I DIDNT SEND YOU A TEXT IT'S CUZ I'M A GOOD. STILL LOVE ALL OF YALL, HAPPY NEW YEAR!!!!!!!!",positive
This dude brought a bottle of Valentina to the movie theater -_-,negative
Kevin Spacey needs to be my grandpa,negative
"MERRY CHRISTMAS EVERYBODY, YALL HAVE AN AWESOME DAY OR ELSE I'LL COME OVER AND MAKE IT AWESOME &lt;3",positive
@Jordan_A_Blanco literally me all day today,negative
@Jordan_A_Blanco sup,negative
I knew the Surface Pro 3 was the epitome of technical innovation when I downloaded a movie while taking a shit,negative
@internets or they're both,negative
I can now play Hearthstone and process picture color statistics all from the comfort of my toilet using my fingers. What a time to be alive!,negative
There's no Easy Mac at home wtf it's like living in the Stone Age,negative
@KeywarsGame you guys are awesome oh wow!!!,positive
@ugotgoobed wut? Rap genius lied to me :(,negative
@ugotgoobed YOUNG RICH NIGGA GETTING MONEY IN TIJUANA,negative
@ugotgoobed MOTOROLA IN THE KITCHEN WHIPPIN SONYA,positive
"Momma I've made it, I can die in peace now @internets http://t.co/OtZJMxSn2u",positive
My spirit animal is @internets,negative
BLACK SHADES JOHNNY CAGE DIAMONDS GO PARADE,negative
@internets Most of my tweets get 0. That means 0 of the fake accounts that follow me like what I have to say,negative
PRAISE TO ELON MUSK THE BEST HUMAN ALIVE,positive
@jparecki95 of course!!! Caffcaine!!!!!,positive
"@jparecki95 COLOMBIA!!!!!!!! Bruh, they put cocaine in all the food there, dont they?",negative
"I hate malls, they have people and cool things",negative
"@jparecki95 lmao, your more Meheecan than me it seems",negative
@jparecki95 but then my family will ask for menudo...,positive
Do you need a stomach to live? Serious question guys pls,negative
"Spent about $500 on family...

Time to sell my kidneys",negative
@SoleilKohl was this 12 episodes ago?,negative
@internets OH WOW YOURE BASICALLY ELON MUSK WOW,positive
@internets PremiumHugs,negative
@internets I STUFF MY SOCKS WITH DINO NUGGETS,negative
There was a 4 car pile up in Mexico today. Over 90 people were seriously injured.,negative
At least the weather tomorrow looks nice http://t.co/sX8Mxqh5Au,positive
I'm like a tall version of a short person,negative
I'm like a less privileged smart white person,positive
I'm like a less successful Elon Musk,positive
I'm like an ugly Derek Zoolander,negative
const float h = 6.63e-34;,positive
"I have an amazing new idea. It's like Uber, but for homeless people with rabies",positive
"I made tea: procrastination at its finest, ladies and gentlemen",positive
"@internets I almost drove a country into the ground, it was my first time doing manual",negative
He gets it http://t.co/Z5q7jVSY73,positive
"""I will provide integrals, a periodic table, and wave equations that you may or may not need""
Why my professor even playin?",negative
"Not even kidding, this is what physics does to me",negative
My roommate took a picture of me sitting in my underwear on top of the mini fridge after I finally understood ground state quantum tunneling,negative
Time to teach myself all of Modern Physics in 12 hours,negative
Breakfast with my professor was fun :D,negative
I'm getting a tattoo of his face on my chest,negative
When I grow up I want  to  be Elon Musk,negative
Silence is nice.,positive
"Me: ""You're a chicken""
Robby: ""You totally torched his ass""",negative
@internets The Stranger by Albert Camus,negative
"@internets 
&gt; The Communist Manifesto
&gt; Mein Kampf",positive
What am I doing with my life http://t.co/EbEtFBxHiD,positive
@thirdeyemary &lt;3,positive
@thirdeyemary when you come we'll go,positive
@jparecki95 BUT THEY MAKE RAINBOWS YES ALL OVER,negative
"Dunno how shit like this just up and happens, but I ain't complaining",negative
... My life is interesting...,positive
"@wolfhard the Breaker, Biomega, Berserk, Akira",positive
@thirdeyemary vieja chancluda,negative
@JennMayen damn,negative
When do we get AP checks? I need food and stuff.........,negative
I'm wearing one pair of pants too many,negative
I finished Noragami a few minutes ago because I'm weebu trash,positive
I've been rewarding myself for doing my work with Noragami because I'm weebu trash,negative
Nothing but fun right now obviously because college is awesome yay,positive
@internets 420 hours get on my level,negative
Where can one purchase motivation?,negative
I made a Mexican Confederate flag http://t.co/8PefKGloz5,positive
"""You don't mess with the titties unless you smear chocolate all over them""
- Greg on titties",negative
"3 pages, 5 to go 😵",negative
"I'm driving to Waco...

At night",negative
"Que en paz descanse Chespirito, gracias por ser que el mundo se ría",negative
Cousins telling me to just do CS because I look like I need to party,negative
Still got remnants of the time-independent Schrodinger wave equation in 3 dimensions written on my leg in Sharpie...,negative
"@thirdeyemary @ugotgoobed naw boo, we helpin you out &lt;3",negative
@ugotgoobed @thirdeyemary her skin gonna be SO FINE,negative
"@thirdeyemary if you get melanoma, you're probs doing it wrong :P",positive
But this is just me being a dumb kid though,negative
"@thirdeyemary Dr. Del Campo, Ph. D. in Slangonomics",negative
"Not a fan of thanksgiving, kinda would much rather sit in my room, listen to music, and do my homework",negative
"@thirdeyemary bruh, did you not read that hashtag tho?",negative
@thirdeyemary remember when you taught me bamf? I used it for a solid month...,negative
@thirdeyemary keep using it that means it's working #ihavebeautifulskintrustme,negative
@internets happy thanksgiving ily &lt;3,positive
@thirdeyemary &gt;&gt;&gt;butt-clencher...,negative
"Happy thanksgiving, don't get too fat",negative
@thirdeyemary @SoDamnTrue @ambernhp2014 @Gwenae18 &lt;333,positive
I just wanna doodle on my arms with sharpie,negative
@EjoEllis have fun,positive
"It's times like these you just wanna find some way to let it out, because it won't let you get your shit done.",negative
I can't sleep.,negative
@thirdeyemary that's why she's amazing,negative
Bruh Primus goes hard af,negative
@EjoEllis sure,positive
One thing I miss from living at home is that I could see the stars at night,negative
"@gayboyadvance @SoleilKohl THE SUN JUST STOPS, BUT THE STARS WOULD LOOK SO PRETTY",negative
"If you don't want an invite, then don't let me know",positive
"If you want an invite to Google Inbox, let me know",positive
@SoleilKohl it keeps the lawn dark,negative
"I am computers, codes is broken!",negative
"""You're an idiot""
Bruh",positive
Proof I'm gonna go far in life,negative
Practicing my web development skillz http://t.co/Gt9C6j6wFD,positive
Haven't slept in about 48 hours actually and I feel like anus and fuck,negative
Life is a bitch,negative
"I could spend time bitching about how awful college is...

But that would take up too much of my nonexistent time.",negative
"It's been 3 years, happy birthday to bae #Skyrim #SkyrimDay",positive
Boyz 2 Hens #RuinA90sBand,negative
I'm gonna wake up tomorrow and die getting off of my bed because I couldn't hold myself,negative
Showering was a bitch,negative
Do weights for an hour and I'm already having trouble scratching my face,negative
"It wasn't like I really needed to see anything though rt, I already don't listen as it is",negative
"I forgot my glasses today, so I didn't see shit in class",negative
@ezracalado ok 👍,positive
I was just given $1000 to start my company :D,negative
@CeciliaEsquive_ @Jordan_A_Blanco ayyyyyyyy,negative
"Decided to stay in instead of going out to party, oh joy",negative
Bruh http://t.co/fKT891RIut,negative
"@Antichamber Hello. I am a student working on a game for a project, and I am wondering who I can contact to use quotes from this game in it",positive
I've been playing RGB Express for the past two hours wtf is wrong with me holy shit,negative
"I'll go with the easy one, Node it is",positive
Use bloated Apache Tomcat or write a simple little server client in NodeJS?,negative
DNS management settings are making me sad,negative
Also got that paper due Thursday,negative
Probably fucked for that test tomorrow though rt,negative
Got all my shit done. Now I may get a few hours of sleep in,negative
"""They told me I could be anything that I wanted...

So I became a hobo""
- @jparecki95",negative
Just realized how much I actually miss being at home,negative
@ugotgoobed bruh thats real af,negative
"Just rewriting a code base to implement it on a browser-based framework, wbu?",negative
Breakfast with @Guwopstavo http://t.co/6z9AO1bVp9,positive
I have the greatest friends I could ask for,positive
"Yes, it's been done. The reason you don't know about it is because there's no market for it.",positive
"Yes, I can make these things happen, but give me something more to work with",negative
It's like I'm getting business proposals every day now,positive
Not sure how my Linear Algebra professor knows my name...,negative
. @trello is pretty great,positive
"Wait, nevermind, it works now?",negative
"My website is down, where else am I supposed to watch pretty changing colors?",negative
@SuperMeatBoy PLEASE,negative
"Goodnight, I can't deprive myself of sleep this week too",positive
"@SoleilKohl then you misspell ""too""",negative
"@SoleilKohl ""don't care"" is never worth it #ThingsILearnedToLate",negative
@hel_oh_el forget about who?,positive
"""We"" means Traian, another friend from SMU, and I",positive
"Yall, that picture I tweeted earlier, that's what I'm actually calling my company. We got a pretty bomb-ass idea in the works",negative
